"","Date","Open","Close","Gibanje"
"1364",2011-02-02,12038.27,12041.97,1
"1365",2011-02-01,11892.5,12040.16,1
"1366",2011-01-31,11824.39,11891.93,1
"1367",2011-01-28,11990.36,11823.7,0
"1368",2011-01-27,11985.36,11989.83,1
"1369",2011-01-26,11978.85,11985.44,1
"1370",2011-01-25,11980.52,11977.19,0
"1371",2011-01-24,11873.43,11980.52,1
"1372",2011-01-21,11822.95,11871.84,1
"1373",2011-01-20,11823.7,11822.8,0
"1374",2011-01-19,11834.21,11825.29,0
"1375",2011-01-18,11783.82,11837.93,1
"1376",2011-01-14,11732.13,11787.38,1
"1377",2011-01-13,11753.7,11731.9,0
"1378",2011-01-12,11673.62,11755.44,1
"1379",2011-01-11,11638.51,11671.88,1
"1380",2011-01-10,11672.34,11637.45,0
"1381",2011-01-07,11696.86,11674.76,0
"1382",2011-01-06,11716.93,11697.31,0
"1383",2011-01-05,11688.61,11722.89,1
"1384",2011-01-04,11670.9,11691.18,1
"1385",2011-01-03,11577.43,11670.75,1
"1386",2010-12-31,11569.33,11577.51,1
"1387",2010-12-30,11585.3,11569.71,0
"1388",2010-12-29,11572.74,11585.38,1
"1389",2010-12-28,11554.8,11575.54,1
"1390",2010-12-27,11572.81,11555.03,0
"1391",2010-12-23,11559.11,11573.49,1
"1392",2010-12-22,11532.17,11559.49,1
"1393",2010-12-21,11478.36,11533.16,1
"1394",2010-12-20,11491.3,11478.13,0
"1395",2010-12-17,11499.02,11491.91,0
"1396",2010-12-16,11458,11499.25,1
"1397",2010-12-15,11475.64,11457.47,0
"1398",2010-12-14,11429.24,11476.54,1
"1399",2010-12-13,11406.16,11428.56,1
"1400",2010-12-10,11370.44,11410.32,1
"1401",2010-12-09,11370.36,11370.06,0
"1402",2010-12-08,11354.3,11372.48,1
"1403",2010-12-07,11363.85,11359.16,0
"1404",2010-12-06,11381.33,11362.19,0
"1405",2010-12-03,11361.88,11382.09,1
"1406",2010-12-02,11255.93,11362.41,1
"1407",2010-12-01,11007.23,11255.78,1
"1408",2010-11-30,11049.72,11006.02,0
"1409",2010-11-29,11083.75,11052.49,0
"1410",2010-11-26,11183.5,11092,0
"1411",2010-11-24,11037.35,11187.28,1
"1412",2010-11-23,11177.6,11036.37,0
"1413",2010-11-22,11201.66,11178.58,0
"1414",2010-11-19,11180.77,11203.55,1
"1415",2010-11-18,11010.49,11181.23,1
"1416",2010-11-17,11017.83,11007.88,0
"1417",2010-11-16,11194.7,11023.5,0
"1418",2010-11-15,11194.02,11201.97,1
